,cat,concept,typicality
755,10,839,6.187957883290528
756,10,844,4.419786518155167
757,10,860,5.650953911939789
758,10,865,5.331672934468772
759,10,867,6.147494809169836
760,10,876,5.4210300041939234
761,10,889,5.820266301131861
762,10,890,6.1452648327704855
763,10,898,7.588091527901028
764,10,910,4.621095488550911
765,10,914,5.640777848299193
766,10,920,7.114438921373768
767,10,922,4.751512420047364
768,10,930,5.500623002245779
769,10,939,6.164186105463257
770,10,945,4.802101564097181
771,10,951,4.412656308841349
772,10,952,7.455181725716571
773,10,966,5.977786120076208
774,10,971,4.911864343866506
775,10,976,4.331112744122635
776,10,977,5.3477719121438145
777,10,979,7.566659041379007
778,10,987,8.250791332448095
779,10,989,7.109705774359895
780,10,990,7.4871600952403625
781,10,994,6.809379876998127
782,10,1004,4.393225325166244
783,10,1030,4.8831184304603115
784,10,1035,6.827936947565898
785,10,1037,3.694935646253673
786,10,1040,6.623400489114196
787,10,1042,4.725785664632397
788,10,1044,5.57641272073855
789,10,1045,6.673552545254452
790,10,1061,7.465294922484168
791,10,1066,6.655787463707162
792,10,1069,7.2637601472249225
793,10,1070,3.92499821266759
794,10,1074,5.498716463475047
795,10,1075,5.780233599445887
796,10,1076,6.880946949186497
797,10,1077,6.806293786245893
798,10,1078,7.471777962120396
799,10,1092,5.401780488732009
800,10,1104,7.3703367960064465
801,10,1111,4.976909830605673
802,10,1119,5.07190904088187
803,10,1122,4.301425821018304
804,10,1123,7.855618164620471
805,10,1124,6.386993341863808
806,10,1126,5.3010612648650275
807,10,1128,6.680224400200653
808,10,1129,6.610282993169743
809,10,1131,6.505060313681909
810,10,1132,7.780588109304157
811,10,1133,6.616833701269158
812,10,1135,5.76067960603129
813,10,1151,5.730625312085388
814,10,1152,4.147560442843998
815,10,1153,7.180687952964374
816,10,1156,5.3369802426052155
817,10,1167,6.748444736298772
818,10,1168,7.390901908148228
819,10,1169,5.568463862097782
820,10,1170,4.475072899034866
821,10,1182,6.69857291467445
822,10,1188,5.3613766088179995
823,10,1189,6.132021574490916
824,10,1192,8.419505426505728
825,10,1203,5.8649662758949646
826,10,1219,5.313221348401147
827,10,1223,7.095478128052484
828,10,1224,3.2842963088617756
829,10,1225,5.484851330298895
830,10,1231,8.101151149406117
831,10,1234,6.405868773651266
832,10,1239,7.111040154568004
833,10,1244,4.807128186002304
834,10,1246,6.300328295853455
835,10,1253,5.454987441189567
836,10,1261,6.505839615512686
837,10,1262,5.284515974158745
838,10,1265,3.333103256232968
839,10,1274,5.538595590789209
840,10,1280,6.125785166204811
841,10,1284,6.60609145959217
842,10,1289,6.326624004603589
843,10,1292,5.327843450194678
844,10,1307,4.753407900774229
845,10,1309,7.785093670938558
846,10,1323,6.988346144659888
847,10,1345,3.54080429494622
848,10,1348,7.633493974943922
849,10,1349,6.6302043589893085
850,10,1357,8.405480923555118
851,10,1359,4.798765376340579
852,10,1362,6.528312588944816
853,10,1364,5.083597463953241
854,10,1365,6.899822985303288
855,10,1372,4.893358464790994
856,10,1373,5.655509189968457
857,10,1380,5.65077743850159
858,10,1386,7.226208692316045
859,10,1394,7.362410685197389
860,10,1400,3.287374149545814
861,10,1429,6.079231182217367
862,10,1438,6.816195811723858
863,10,1475,6.803110572590183
864,10,1497,5.088751769253877
865,10,1498,5.157581184232936
866,10,1499,7.844576089547997
867,10,1500,4.9165929140264835
868,10,1503,8.094301793164396
869,10,1504,5.045179535541649
870,10,1505,6.704338175875366
871,10,1515,7.020320903843716
872,10,1521,5.805655570480951
873,10,1524,5.385938366278758
874,10,1526,6.23877068766122
875,10,1528,4.161665452001137
876,10,1540,3.842612558709352
877,10,1544,8.073302612756587
878,10,1551,6.82762389477556
879,10,1557,6.554655458760479
880,10,1570,7.077224094821128
881,10,1573,6.379889059275248
882,10,1575,6.3232869577081425
883,10,1579,4.100814368624391
884,10,1582,5.894705465044485
885,10,1588,6.629427357211424
886,10,1595,6.615549093021746
887,10,1603,4.412009599817664
888,10,1605,4.532424047369441
889,10,1613,7.546163643447699
890,10,1615,4.379991716487965
891,10,1618,5.755635346739158
892,10,1663,4.9494914434491495
893,10,1665,7.123539725947135
894,10,1672,7.5919824035414765
895,10,1673,6.300145955703473
896,10,1686,6.28371885826365
897,10,1687,6.83085072997816
898,10,1688,5.814347447254564
899,10,1733,7.1935987803751855
900,10,1754,8.047135975983213
901,10,1769,4.684559573037986
902,10,1770,6.833122865558745
903,10,1778,5.680242472600126
904,10,1793,7.118642690030564
905,10,1800,5.100433723833434
906,10,1805,6.283012991785059
907,10,1810,4.897734766804739
908,10,1837,5.379557160023978
909,10,1848,7.06471347798698
910,10,1850,4.520776554421668
911,10,1853,6.354120076179119
912,11,30,8.27747704212229
913,11,43,4.398133914053889
914,11,63,8.536057600241104
915,11,121,7.36465871791999
916,11,135,6.333872067034939
917,11,149,7.24086440354217
918,11,263,6.62454955311119
919,11,316,7.550019228248949
920,11,375,5.64638420339095
921,11,430,5.823279040336671
922,11,581,4.925023114577181
923,11,645,7.748172619515457
924,11,702,8.118942253745224
925,11,703,7.028208705092635
926,11,876,6.576983034656729
927,11,914,6.130239083243098
928,11,930,6.253316844475816
929,11,966,6.761912448956871
930,11,994,7.0761477964773665
931,11,1037,4.622945964997429
932,11,1078,7.9895509668257105
933,11,1111,5.546418097715312
934,11,1129,8.01194043224513
935,11,1133,7.7796033036921965
936,11,1182,7.420949939655904
937,11,1203,6.737751435846675
938,11,1219,5.870861298663671
939,11,1244,5.007874202293732
940,11,1280,5.147467068327954
941,11,1284,6.868800286853215
942,11,1540,4.4932413328231915
943,11,1570,7.922383445413887
944,11,1672,5.1457646973728695
945,11,1793,7.464372283307966
946,12,5,4.451416518045785
947,12,85,5.0431711684948635
948,12,103,5.044316210084274
949,12,108,8.284807733720303
950,12,120,6.361883797999936
951,12,167,7.104319242984317
952,12,222,6.13401545518353
953,12,233,6.725627423684426
954,12,300,8.016292959688556
